"Courier ID" "Departure time" Origin Destination "Assignment ID"
c37 211.0 o762 o682 88
c37 230.0 r17 o636 89
c38 112.0 r93 o206 90
c38 117.0 o206 o1020 90
c38 176.0 r24 o259 91
c38 181.0 o259 o184 91
c38 191.0 o184 o337 91
c38 210.0 r186 o885 92
c39 97.0 r108 o679 93
c39 164.0 r78 o564 94
c39 168.0 o564 o277 94
c39 191.0 r44 o1229 95
c40 102.0 r160 o1101 96
c40 167.0 r78 o1313 97
c40 172.0 o1313 o1249 97
c40 182.0 o1249 o439 97
c40 209.0 r103 o552 98
c41 104.0 r179 o597 99
c42 175.0 r198 o928 100
c42 178.0 o928 o1166 100
c42 181.0 o1166 o1289 100
c42 208.0 r21 o625 101
c42 217.0 o625 o469 101
c42 232.0 o469 o304 101
c43 148.0 r62 o875 102
c43 154.0 o875 o731 102
c43 162.0 o731 o82 102
c43 203.0 r9 o549 103
c43 209.0 o549 o585 103
c44 201.0 r67 o692 104
c44 205.0 o692 o417 104
c44 209.0 o417 o97 104
c44 218.0 r54 o118 105
c45 199.0 r91 o153 106
c45 204.0 o153 o1219 106
c45 286.0 r28 o31 107
c45 291.0 o31 o88 107
c45 306.0 r45 o55 108
c46 190.0 r2 o1002 109
c46 194.0 o1002 o1212 109
c46 197.0 o1212 o512 109
c46 205.0 o512 o1043 109
c46 212.0 o1043 o1050 109
c46 284.0 r24 o89 110
c46 288.0 o89 o565 110
c46 300.0 o565 o932 110
c46 316.0 r67 o868 111
c47 183.0 r79 o561 112
c47 188.0 o561 o179 112
c47 288.0 r96 o1255 113
c47 301.0 o1255 o576 113
c47 332.0 r169 o518 114
c48 218.0 r135 o462 115
c48 222.0 o462 o269 115
c48 273.0 r70 o1108 116
c48 277.0 o1108 o346 116
c49 218.0 r117 o1215 117
c49 227.0 o1215 o1051 117
c49 241.0 o1051 o596 117
c49 251.0 o596 o944 117
c49 261.0 r31 o943 118
c51 222.0 r132 o895 119
c51 227.0 o895 o373 119
c52 227.0 r43 o48 120
c52 231.0 o48 o117 120
c52 236.0 o117 o1135 120
c52 304.0 r78 o1221 121
c52 309.0 o1221 o115 121
c52 314.0 o115 o603 121
c52 322.0 o603 o873 121
c52 327.0 o873 o1087 121
c52 352.0 r7 o648 122
c53 265.0 r69 o788 123
c53 270.0 o788 o1283 123
c53 276.0 o1283 o1262 123
c53 281.0 o1262 o1245 123
c53 288.0 o1245 o1093 123
c53 296.0 o1093 o1348 123
c53 304.0 o1348 o891 123
c53 413.0 r69 o1013 124
c53 419.0 o1013 o262 124
c53 427.0 o262 o837 124
c54 350.0 r96 o159 125
c54 359.0 o159 o1192 125
c54 377.0 r24 o1098 126
c55 360.0 r22 o619 127
c55 364.0 o619 o816 127
c55 371.0 o816 o456 127
c55 386.0 r13 o1177 128
c56 237.0 r7 o917 129
c56 243.0 o917 o50 129
c56 309.0 r6 o1214 130
c56 315.0 o1214 o1078 130
c56 320.0 o1078 o104 130
c56 328.0 o104 o680 130
c56 338.0 o680 o6 130
c56 341.0 o6 o715 130
c56 421.0 r91 o746 131
c56 426.0 o746 o435 131
c57 261.0 r105 o1234 132
c57 267.0 o1234 o950 132
c57 334.0 r9 o696 133
c57 338.0 o696 o878 133
c57 363.0 r2 o713 134
c58 208.0 r21 o1201 135
c58 212.0 o1201 o1016 135
c59 242.0 r73 o545 136
c59 255.0 o545 o275 136
c59 283.0 r78 o384 137
c60 221.0 r159 o599 138
c61 265.0 r6 o996 139
c62 407.0 r56 o283 140
c62 414.0 o283 o176 140
c62 436.0 r100 o805 141
c63 256.0 r210 o1242 142
c63 309.0 r50 o300 143
c63 313.0 o300 o1327 143
c64 322.0 r138 o290 144
c64 329.0 o290 o459 144
c64 350.0 r124 o1273 145
c65 254.0 r41 o852 146
c66 394.0 r11 o1154 147
c66 398.0 o1154 o353 147
c66 421.0 r91 o1149 148
c67 251.0 r63 o1339 149
c67 263.0 r95 o1061 150
c68 412.0 r47 o1064 151
c68 417.0 o1064 o294 151
c68 423.0 o294 o57 151
c69 280.0 r7 o720 152
c69 286.0 o720 o485 152
c69 311.0 r10 o1346 153
c70 251.0 r60 o80 154
c71 415.0 r103 o729 155
c71 418.0 o729 o1065 155
c72 349.0 r1 o323 156
c72 356.0 o323 o211 156
c72 380.0 r35 o251 157
c73 350.0 r129 o247 158
c73 354.0 o247 o446 158
c73 376.0 r125 o663 159
c73 412.0 r26 o1301 160
c73 418.0 o1301 o1224 160
c74 264.0 r46 o90 161
c74 267.0 o90 o644 161
c75 330.0 r29 o558 162
c75 335.0 o558 o941 162
c75 340.0 o941 o375 162
c75 349.0 o375 o1168 162
c75 418.0 r105 o604 163
c75 428.0 o604 o177 163
c76 272.0 r116 o1188 164
c77 272.0 r208 o1172 165
c78 292.0 r17 o1165 166
c78 297.0 o1165 o357 166
c78 322.0 r138 o735 167
c79 255.0 r85 o133 168
c79 260.0 o133 o994 168
c80 262.0 r30 o345 169
c80 341.0 r49 o1014 170
c80 347.0 o1014 o130 170
c80 369.0 r40 o44 171
c81 420.0 r58 o1316 172
c81 424.0 o1316 o361 172
c81 429.0 o361 o655 172
c82 268.0 r55 o1274 173
c83 315.0 r2 o149 174
c83 327.0 o149 o1083 174
c83 413.0 r29 o1271 175
c83 417.0 o1271 o1044 175
c83 426.0 o1044 o265 175
c83 430.0 o265 o32 175
c83 458.0 r130 o719 176
c84 316.0 r75 o364 177
c85 324.0 r90 o217 178
c86 380.0 r99 o632 179
c87 392.0 r176 o1317 180
c87 397.0 o1317 o586 180
c88 372.0 r112 o939 181
c88 591.0 r28 o418 182
c88 596.0 o418 o1001 182
c89 473.0 r140 o1261 183
c89 477.0 o1261 o970 183
c89 496.0 r7 o421 184
c89 550.0 r95 o158 185
c89 555.0 o158 o165 185
c90 383.0 r98 o1169 186
c91 488.0 r16 o17 187
c91 491.0 o17 o443 187
c91 497.0 o443 o712 187
c91 551.0 r61 o190 188
c91 556.0 o190 o224 188
c91 561.0 o224 o594 188
c91 589.0 r7 o1156 189
c91 595.0 o1156 o1185 189
c91 601.0 o1185 o244 189
c91 626.0 r189 o929 190
c92 479.0 r71 o1079 191
c92 483.0 o1079 o810 191
c92 510.0 r143 o322 192
c92 521.0 o322 o924 192
c92 556.0 r161 o1232 193
c93 451.0 r78 o1236 194
c93 456.0 o1236 o424 194
c93 532.0 r30 o148 195
c93 536.0 o148 o1280 195
c93 541.0 o1280 o1140 195
c93 544.0 o1140 o330 195
c93 549.0 o330 o214 195
c93 615.0 r121 o922 196
c93 620.0 o922 o227 196
c94 499.0 r20 o1084 197
c94 505.0 o1084 o857 197
c94 573.0 r43 o296 198
c94 576.0 o296 o1041 198
c94 580.0 o1041 o673 198
c94 609.0 r114 o1286 199
c94 616.0 o1286 o1021 199
c95 413.0 r73 o1200 200
c96 454.0 r152 o395 201
c96 463.0 o395 o1356 201
c96 467.0 o1356 o883 201
c96 591.0 r107 o291 202
c96 596.0 o291 o656 202
c96 606.0 o656 o180 202
c96 616.0 r11 o617 203
c97 468.0 r102 o674 204
c97 477.0 o674 o732 204
c97 490.0 o732 o169 204
c97 591.0 r183 o1015 205
c97 596.0 o1015 o894 205
c97 600.0 o894 o933 205
c97 612.0 o933 o758 205
c98 403.0 r48 o584 206
c99 473.0 r9 o598 207
c99 477.0 o598 o556 207
c99 576.0 r141 o601 208
c99 579.0 o601 o936 208
c99 583.0 o936 o305 208
c99 644.0 r120 o1057 209
c99 650.0 o1057 o226 209
c99 666.0 r153 o1198 210
c100 551.0 r38 o41 211
c100 556.0 o41 o497 211
c100 574.0 r134 o264 212
c101 544.0 r1 o1345 213
c101 549.0 o1345 o767 213
c101 587.0 r30 o569 214
c101 592.0 o569 o1049 214
c101 600.0 o1049 o1035 214
c101 607.0 o1035 o590 214
c101 630.0 r24 o52 215
c102 517.0 r144 o1145 216
c102 521.0 o1145 o1139 216
c102 529.0 o1139 o1307 216
c102 599.0 r35 o888 217
c102 602.0 o888 o85 217
c102 612.0 o85 o795 217
c102 623.0 r67 o1048 218
c103 527.0 r104 o803 219
c103 531.0 o803 o649 219
c103 542.0 o649 o612 219
c103 605.0 r106 o178 220
c103 614.0 o178 o580 220
c103 636.0 r22 o544 221
c104 484.0 r101 o1305 222
c104 493.0 o1305 o1227 222
c104 505.0 o1227 o577 222
c104 610.0 r20 o1075 223
c104 617.0 o1075 o60 223
c104 621.0 o60 o21 223
c104 635.0 r34 o37 224
c105 530.0 r144 o702 225
c105 540.0 o702 o705 225
c105 612.0 r80 o1176 226
c105 616.0 o1176 o698 226
c105 619.0 o698 o1110 226
c105 623.0 o1110 o258 226
c105 627.0 o258 o770 226
c105 634.0 o770 o899 226
c105 639.0 o899 o1266 226
c105 661.0 r114 o523 227
c106 526.0 r195 o879 228
c106 529.0 o879 o815 228
c106 548.0 r2 o400 229
c106 558.0 o400 o405 229
c106 627.0 r122 o694 230
c106 633.0 o694 o229 230
c106 643.0 r182 o638 231
c107 541.0 r173 o550 232
c107 545.0 o550 o915 232
c107 557.0 r97 o160 233
c108 473.0 r65 o92 234
c108 486.0 o92 o428 234
c108 625.0 r45 o437 235
c108 628.0 o437 o546 235
c108 641.0 r173 o1112 236
c109 443.0 r84 o473 237
c109 607.0 r85 o1142 238
c109 611.0 o1142 o791 238
c109 628.0 r20 o772 239
c110 543.0 r157 o1000 240
c110 553.0 o1000 o958 240
c110 585.0 r101 o573 241
c111 443.0 r154 o822 242
c111 450.0 o822 o382 242
c112 535.0 r15 o16 243
c112 547.0 o16 o910 243
c112 575.0 r111 o189 244
c113 505.0 r95 o1159 245
c113 515.0 o1159 o1325 245
c113 521.0 o1325 o467 245
c113 556.0 r177 o846 246
c113 563.0 o846 o588 246
c114 526.0 r159 o825 247
c114 535.0 o825 o811 247
c114 550.0 o811 o850 247
c114 628.0 r49 o260 248
c114 633.0 o260 o210 248
c114 648.0 r71 o302 249
c115 432.0 r188 o718 250
c115 455.0 r192 o779 251
c116 577.0 r10 o1088 252
c116 581.0 o1088 o196 252
c116 647.0 r1 o392 253
c116 655.0 o392 o1 253
c116 661.0 o1 o1119 253
c117 592.0 r186 o876 254
c117 596.0 o876 o701 254
c117 662.0 r9 o466 255
c117 673.0 o466 o589 255
c117 680.0 o589 o911 255
c117 686.0 o911 o1233 255
c118 504.0 r35 o1362 256
c118 518.0 o1362 o1320 256
c118 584.0 r16 o107 257
c118 589.0 o107 o1311 257
c118 607.0 r85 o865 258
c118 626.0 r141 o386 259
c119 441.0 r7 o62 260
c119 498.0 r47 o1072 261
c119 502.0 o1072 o112 261
c119 508.0 o112 o425 261
c119 513.0 o425 o147 261
c119 599.0 r68 o252 262
c119 603.0 o252 o313 262
c119 623.0 r52 o547 263
c119 628.0 o547 o1186 263
c120 527.0 r54 o86 264
c120 530.0 o86 o1111 264
c120 621.0 r58 o1354 265
c120 626.0 o1354 o387 265
c120 662.0 r7 o677 266
c120 671.0 o677 o1157 266
c120 677.0 o1157 o351 266
c121 629.0 r168 o508 267
c121 633.0 o508 o593 267
c121 651.0 r153 o1294 268
c122 448.0 r91 o1003 269
c123 549.0 r155 o1032 270
c123 556.0 o1032 o964 270
c123 577.0 r181 o1343 271
c124 513.0 r129 o730 272
c124 517.0 o730 o1216 272
c124 520.0 o1216 o310 272
c124 570.0 r49 o1237 273
c124 576.0 o1237 o920 273
c125 530.0 r114 o1117 274
c125 537.0 o1117 o396 274
c125 586.0 r75 o514 275
c125 593.0 o514 o457 275
c126 457.0 r7 o213 276
c126 543.0 r9 o1326 277
c126 548.0 o1326 o426 277
c126 555.0 o426 o819 277
c126 614.0 r2 o22 278
c126 618.0 o22 o120 278
c126 621.0 o120 o463 278
c126 626.0 o463 o1302 278
c126 637.0 o1302 o461 278
c126 653.0 o461 o542 278
c127 527.0 r23 o25 279
c127 539.0 o25 o714 279
c127 613.0 r32 o54 280
c127 621.0 o54 o248 280
c127 646.0 r69 o1297 281
c128 638.0 r31 o706 282
c128 641.0 o706 o53 282
c128 646.0 o53 o261 282
c128 651.0 o261 o34 282
c129 524.0 r11 o63 283
c129 528.0 o63 o1138 283
c129 546.0 r35 o416 284
c129 549.0 o416 o38 284
c130 525.0 r105 o534 285
c130 530.0 o534 o349 285
c130 539.0 o349 o761 285
c131 439.0 r81 o465 286
c132 463.0 r213 o1351 287
c133 493.0 r121 o901 288
c133 497.0 o901 o306 288
c133 505.0 o306 o388 288
c133 527.0 r103 o1141 289
c133 530.0 o1141 o489 289
c134 454.0 r109 o1269 290
c135 558.0 r9 o1292 291
c135 563.0 o1292 o1058 291
c135 572.0 o1058 o817 291
c135 652.0 r116 o751 292
c135 658.0 o751 o918 292
c135 665.0 o918 o1206 292
c135 670.0 o1206 o984 292
c135 679.0 o984 o336 292
c135 692.0 r8 o8 293
c136 488.0 r7 o399 294
c136 493.0 o399 o687 294
c136 522.0 r92 o154 295
c136 638.0 r72 o1068 296
c136 642.0 o1068 o652 296
c136 647.0 o652 o977 296
c136 674.0 r9 o42 297
c136 691.0 o42 o959 297
c137 466.0 r184 o659 298
c138 460.0 r139 o299 299
c138 553.0 r30 o311 300
c138 561.0 o311 o999 300
c138 644.0 r10 o1175 301
c138 648.0 o1175 o1163 301
c138 654.0 o1163 o10 301
c139 477.0 r62 o890 302
c140 460.0 r7 o476 303
c140 482.0 r180 o602 304
c141 520.0 r135 o685 305
c141 523.0 o685 o1109 305
c141 527.0 o1109 o328 305
c141 538.0 r33 o621 306
c142 543.0 r64 o341 307
c142 546.0 o341 o298 307
c142 553.0 o298 o773 307
c142 564.0 o773 o650 307
c142 587.0 r24 o753 308
c142 593.0 o753 o1053 308
c142 670.0 r2 o1060 309
c142 674.0 o1060 o402 309
c142 681.0 o402 o1303 309
c142 685.0 o1303 o896 309
c142 696.0 o896 o736 309
c142 716.0 r13 o961 310
c143 695.0 r62 o1143 311
c143 702.0 o1143 o1230 311
c143 706.0 o1230 o709 311
c144 605.0 r130 o623 312
c144 615.0 o623 o848 312
c144 681.0 r70 o912 313
c144 685.0 o912 o814 313
c144 693.0 o814 o893 313
c145 500.0 r3 o3 314
c146 582.0 r22 o707 315
c146 586.0 o707 o1241 315
c146 593.0 o1241 o1152 315
c146 640.0 r64 o871 316
c146 649.0 o871 o436 316
c147 536.0 r105 o352 317
c147 543.0 o352 o963 317
c147 555.0 o963 o916 317
c147 568.0 r61 o87 318
c148 575.0 r118 o219 319
c148 580.0 o219 o937 319
c148 588.0 o937 o1129 319
c148 614.0 r13 o218 320
c148 618.0 o218 o860 320
c149 544.0 r32 o1223 321
c149 553.0 o1223 o35 321
c149 618.0 r69 o483 322
c149 626.0 o483 o155 322
c149 631.0 o155 o288 322
c149 652.0 r138 o689 323
c150 500.0 r211 o1243 324
c151 568.0 r32 o233 325
c151 575.0 o233 o981 325
c151 592.0 r171 o527 326
c152 596.0 r113 o571 327
c152 606.0 o571 o769 327
c152 629.0 r38 o1025 328
c153 577.0 r135 o864 329
c153 581.0 o864 o517 329
c153 652.0 r116 o369 330
c153 657.0 o369 o530 330
c153 676.0 r150 o480 331
c154 624.0 r100 o166 332
c154 630.0 o166 o724 332
c154 644.0 r57 o76 333
c154 712.0 r69 o188 334
c154 720.0 o188 o973 334
c154 726.0 o973 o363 334
c154 739.0 o363 o1278 334
c155 520.0 r7 o1275 335
c155 528.0 o1275 o634 335
c155 552.0 r33 o94 336
c155 687.0 r163 o832 337
c155 698.0 o832 o481 337
c155 737.0 r70 o1034 338
c156 644.0 r46 o175 339
c156 649.0 o175 o1253 339
c157 601.0 r8 o954 340
c157 609.0 o954 o801 340
c157 703.0 r70 o697 341
c157 708.0 o697 o618 341
c157 730.0 r103 o654 342
c158 634.0 r7 o297 343
c158 637.0 o297 o1267 343
c158 643.0 o1267 o579 343
c158 666.0 r120 o1276 344
c159 670.0 r92 o568 345
c160 721.0 r18 o19 346
c160 730.0 o19 o1355 346
c161 711.0 r116 o420 347
c161 718.0 o420 o207 347
c162 678.0 r12 o45 348
c163 680.0 r116 o1046 349
c164 672.0 r98 o583 350
c165 682.0 r140 o301 351
c166 677.0 r170 o1228 352
c167 685.0 r7 o764 353
c167 706.0 r31 o359 354
c168 727.0 r9 o365 355
c168 738.0 o365 o1010 355
c168 741.0 o1010 o441 355
c168 747.0 o441 o695 355
c168 771.0 r81 o126 356
c169 708.0 r60 o407 357
c170 785.0 r1 o235 358
c170 790.0 o235 o907 358
c170 797.0 o907 o1063 358
c172 747.0 r9 o1244 359
c173 793.0 r9 o203 360
c173 798.0 o203 o1248 360
c173 803.0 o1248 o1293 360
c173 807.0 o1293 o320 360
